nom,prix,adresse ,image
Chiots Labrador,Prixsurdemande,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/1935397_uploaded_image2_1586726397.99.png""); width: 488px;"
Chien,400000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1940062_uploaded_image2_1586802061.26.png""); width: 597px;"
Chien,400000,Sénégal,"background-image: url(""https://images.coinafrique.com/1940073_uploaded_image2_1586802160.21.png""); width: 597px;"
CHiots Pitbull,90000,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/1959031_uploaded_image2_1587075774.26.jpeg""); width: 436px;"
Femelles  métisse rock / 4 chiennes,50000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_1984265_uploaded_image1_1587479748.47.jpeg""); width: 583px;"
Chiot Chowchow,Prixsurdemande,"Hann Bel-Air, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2047517_uploaded_image2_1588470753.jpeg""); width: 488px;"
Chiot Berger Allemand,250000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2062558_uploaded_image1_1588702072.jpg""); width: 429px;"
Chiot Can Corso,300000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2062566_uploaded_image1_1588702172.jpg""); width: 429px;"
Berger malinois charboné,300000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2063869_uploaded_image1_1588722042.jpg""); width: 429px;"
Chiots Berger Amstaff,130000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2082208_uploaded_image2_1588983813.jpeg""); width: 615px;"
Chiots Yorkshire/caniche,200000,"Guediawaye, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2107633_uploaded_image2_1589392557.jpeg""); width: 369px;"
Chiots rockweile,290000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2119461_uploaded_image2_1589565559.jpeg""); width: 436px;"
Chiots Rottweiler,300000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2151223_uploaded_image2_1590064972.jpeg""); width: 529px;"
Chiot Yorkie_Chon,300000,"Louga, Sénégal","background-image: url(""https://images.coinafrique.com/2151616_uploaded_image2_1592169343.jpeg""); width: 498px;"
Chiot chowchow,Prixsurdemande,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2155097_uploaded_image2_1590127309.jpeg""); width: 488px;"
Bichons,350000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2181152_uploaded_image1_1590585289.jpg""); width: 395px;"
Chien,65000,"Les Parcelles Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2209275_uploaded_image1_1591023390.jpg""); width: 425px;"
Berger blanc suisse,150000,"Thies Nord, Thiès, Sénégal","background-image: url(""https://images.coinafrique.com/2211811_uploaded_image2_1591059037.jpeg""); width: 496px;"
Berger allemand pure sang,150000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2217466_uploaded_image2_1591135620.jpeg""); width: 387px;"
Berger allemand pur sang,150000,"Grand Yoff, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2217470_uploaded_image2_1591135735.jpeg""); width: 387px;"
Chiots berger allemand,175000,"Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2230488_uploaded_image2_1591320629.jpeg""); width: 448px;"
Chiots berger belge malinois,150000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2244294_uploaded_image2_1591560491.jpeg""); width: 369px;"
Chiot Berger blanc,170000,Sénégal,"background-image: url(""https://images.coinafrique.com/2250259_uploaded_image2_1591646067.jpeg""); width: 496px;"
Chiots Berger,160000,"Parcelle Assainies, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2277897_uploaded_image2_1592046958.jpeg""); width: 496px;"
Chiots Rottweiler,400000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/thumb_2299686_uploaded_image1_1592393679.jpg""); width: 369px;"
Berger Allemand femelle,250000,"Dakar-Plateau, Dakar, Sénégal","background-image: url(""https://images.coinafrique.com/2300480_uploaded_image2_1592400668.jpeg""); width: 529px;"
Caniche,240000,"Rufisque, Sénégal","background-image: url(""https://images.coinafrique.com/2308946_uploaded_image2_1592507916.jpeg""); width: 417px;"
Chiots Bichons,350000,"Louga, Sénégal","background-image: url(""https://images.coinafrique.com/2324363_uploaded_image2_1592781561.jpeg""); width: 369px;"
Chien berger malinois,150000,"Keur Massar, Sénégal","background-image: url(""https://images.coinafrique.com/2331869_uploaded_image2_1592905488.jpeg""); width: 369px;"
